Request Id,Request Definition,CampaignId,Hashtag,SeedTweets,ExpandedTweets,HashtagTweets,UserCount,Organized,Other
201704091555088927efb4970-0564-458a-8bef-37d97533db13,AmericaFirstBC_BC,HillarySupportersElectionDay,americafirst,1724,317491,2803,623,ORGANIZED,POLITICAL	TRUMP	
201704091555099434dbd0c4d-bb1d-4ee5-abff-4c729bb53e20,AmericaFirstBC_BC,HillarySupportersElectionDay,americafirst,1563,315680,2737,542,ORGANIZED,POLITICAL	TRUMP	
201704091555114366b60e737-6463-49e7-9e93-298fa10ed9bd,AmericaFirstBC_BC,HillarySupportersElectionDay,americafirst,1624,293849,3095,515,ORGANIZED,POLITICAL	TRUMP	
20170409155512424fb65161c-e82d-46ca-8260-a7bf4cf00440,AmericaFirstBC_BC,HillarySupportersElectionDay,americafirst,1705,296867,2917,527,ORGANIZED,POLITICAL	TRUMP	
201704091555135148e4fc032-5358-489d-9b24-cd422c96d9e6,AmericaFirstBC_BC,HillarySupportersElectionDay,americafirst,1715,337559,2614,541,ORGANIZED,POLITICAL	TRUMP	
20170409155514351a01af2ac-a787-48e7-b230-ac252d741604,AmericaFirstBC_BC,HillarySupportersElectionDay,americafirst,1701,315351,2266,540,ORGANIZED,POLITICAL	TRUMP	
20170409155515682a6244f32-9a88-4335-910b-1d87fefb8039,AmericaFirstBC_BC,HillarySupportersElectionDay,americafirst,1405,306470,2277,485,ORGANIZED,POLITICAL	TRUMP	
20170416162545160bb6213de-0eaf-413c-b676-3161a9565a02,americafirst,americafirst,americafirst,751,96752,1131,367,ORGANIZED,POLITICAL	TRUMP	
2017041616254991925adbac2-f770-4f31-b774-7402b02c7818,americafirst_BC,americafirst,americafirst,726,77470,1262,314,ORGANIZED,POLITICAL	TRUMP	
201704161625541404beb83f6-067b-4e6c-9d95-ccca6a56efac,americafirst_BC,americafirst,americafirst,819,76154,1387,335,ORGANIZED,POLITICAL	TRUMP	
20170416162558599fe928e6a-1571-4f94-9dcf-617424375582,americafirst_BC,americafirst,americafirst,658,69670,1175,313,ORGANIZED,POLITICAL	TRUMP	
20170416162600701ea6de3cc-2330-4acf-b682-799f58f60e2e,americafirst_BC,americafirst,americafirst,758,71506,1473,312,ORGANIZED,POLITICAL	TRUMP	
201704161626022987fc9caec-8ea6-4f6d-92b8-ea75e56780aa,americafirst_BC,americafirst,americafirst,690,76529,1334,315,ORGANIZED,POLITICAL	TRUMP	
201704161626044344840516-07eb-45c4-9be2-4a9d3eaacf2a,americafirst_BC,americafirst,americafirst,635,74548,1082,293,ORGANIZED,POLITICAL	TRUMP	
20170416162605543294e9da2-4f88-4517-bf6b-eb3620bfa938,americafirst_BC,americafirst,americafirst,652,78628,1100,310,ORGANIZED,POLITICAL	TRUMP	
201704161626077011fbb8798-51eb-49e3-bca6-fea8b0bcf439,americafirst_BC,americafirst,americafirst,722,93829,1456,348,ORGANIZED,POLITICAL	TRUMP	
201704161626094285a0c65cc-e88e-4936-863d-ff84886531b2,americafirst_BC,americafirst,americafirst,685,80287,1418,304,ORGANIZED,POLITICAL	TRUMP	
201704161626104115e32ec24-cfa8-4c7e-9de7-4f0f79c46b15,americafirst_BC,americafirst,americafirst,685,73739,1433,308,ORGANIZED,POLITICAL	TRUMP	
201704161626118289664644a-4fb6-4bc7-bf40-84af0dc404a6,americafirst_BC,americafirst,americafirst,730,100669,1296,334,ORGANIZED,POLITICAL	TRUMP	
20170416162615142700193d3-91dc-48b5-886c-e069ad5c6e12,americafirst_BC,AmericaFirst,americafirst,706,80130,1818,334,ORGANIZED,POLITICAL	TRUMP	
20170416162615556d7b4c22f-1721-44a2-a0cb-e9976b1701d3,americafirst_BC,americafirst,americafirst,581,83469,1259,274,ORGANIZED,POLITICAL	TRUMP	
201704161626166277f5aaba-318d-4b8a-93dd-22f1f88d007f,americafirst_BC,AmericaFirst,americafirst,664,84525,1563,316,ORGANIZED,POLITICAL	TRUMP	
20170416162616720ec4d3d5b-cd40-4c40-99df-f4ad00266d59,americafirst_BC,americafirst,americafirst,704,103016,1706,303,ORGANIZED,POLITICAL	TRUMP	
2017041616261687096647a5f-83e5-4fff-a673-7672e1943425,americafirst_BC,AmericaFirst,americafirst,660,78367,1053,319,ORGANIZED,POLITICAL	TRUMP	
2017041616261775136cb921f-9c1f-49aa-9ff3-8f9e2d436993,americafirst_BC,AmericaFirst,americafirst,574,67582,1002,292,ORGANIZED,POLITICAL	TRUMP	
2017041616261775722791687-eac8-4bff-acde-5c1091a4c658,americafirst_BC,americafirst,americafirst,548,74483,1329,254,ORGANIZED,POLITICAL	TRUMP	
201704161626185354e8587c0-f640-44a4-acd0-b840b8fa77f0,americafirst_BC,AmericaFirst,americafirst,661,96718,1560,347,ORGANIZED,POLITICAL	TRUMP	
20170416162618744b249aaa1-1e35-4cd5-800a-8e483b09cf57,americafirst_BC,americafirst,americafirst,563,76929,1427,250,ORGANIZED,POLITICAL	TRUMP	
20170416162619464055d53eb-9a4a-48b8-8d26-f4b14b165ee7,americafirst_BC,AmericaFirst,americafirst,664,82171,1542,323,ORGANIZED,POLITICAL	TRUMP	
20170416162620158265c05c6-46d8-46d2-a045-4536b8203ee2,americafirst_BC,americafirst,americafirst,546,90956,1133,254,ORGANIZED,POLITICAL	TRUMP	
20170416162620512c358b0a5-5541-4f0c-9a47-3d9cc4da54a9,americafirst_BC,AmericaFirst,americafirst,726,82781,1857,311,ORGANIZED,POLITICAL	TRUMP	
20170416162621669c0707488-055c-4009-af8b-17ade53784fc,americafirst_BC,AmericaFirst,americafirst,706,79612,1713,311,ORGANIZED,POLITICAL	TRUMP	
201704161626225909950e9e3-5503-4d68-b942-0d718c4ff446,americafirst_BC,AmericaFirst,americafirst,604,98470,1534,305,ORGANIZED,POLITICAL	TRUMP	
2017041616262377135640783-6812-4ec5-800d-bf0cc6cb76ee,americafirst_BC,AmericaFirst,americafirst,533,85001,1077,277,ORGANIZED,POLITICAL	TRUMP	
2017041616262452551038ccc-24cf-4ed7-823b-0890331c99e6,americafirst_BC,AmericaFirst,americafirst,619,81524,1766,272,ORGANIZED,POLITICAL	TRUMP	
20170416162625427b8b6703b-7e09-49c7-9924-16a358faba82,americafirst_BC,AmericaFirst,americafirst,580,95646,1525,267,ORGANIZED,POLITICAL	TRUMP	
