Request Id,Request Definition,CampaignId,Hashtag,SeedTweets,ExpandedTweets,HashtagTweets,UserCount,Organized,Other
20170226221918106e5ed33b-bbee-4ce9-ac10-c26a58c9c6d6,bucketNews_BC,NewsRelated,news,16367,266984,94839,451,ORGANIC,NON-POLITICAL	NON-POLITICAL	NON-POLITICAL	IRRELEVANT	

201702262219204480505cb9d-e5b8-445e-8638-d35f1405056a,bucketNews_BC,NewsRelated,news,16010,269896,93804,462,ORGANIC,NON-POLITICAL	NON-POLITICAL	NON-POLITICAL	IRRELEVANT	

201702262219245452d063dab-cf30-43d9-ab4d-1bbd395c6929,bucketNews_BC,NewsRelated,news,16149,282184,94388,482,ORGANIC,NON-POLITICAL	NON-POLITICAL	NON-POLITICAL	IRRELEVANT	

20170226221927204346f055d-5c46-4fca-8b3f-6298f77320f9,bucketNews_BC,NewsRelated,news,14754,217401,84097,360,ORGANIC,NON-POLITICAL	NON-POLITICAL	NON-POLITICAL	IRRELEVANT	

201702262219307559ccab588-fa9f-4870-bb1e-52e8d47d05bb,bucketNews_BC,NewsRelated,news,15391,227522,88873,369,ORGANIC,NON-POLITICAL	NON-POLITICAL	NON-POLITICAL	IRRELEVANT	

20170226221935238af7e5c9-ac45-434e-8bd6-ec18fd685383,bucketNews_BC,NewsRelated,news,14315,211996,82754,350,ORGANIC,NON-POLITICAL	NON-POLITICAL	NON-POLITICAL	IRRELEVANT	

20170226221937536273b1f8b-3a1a-4842-9055-8b7221b0c1ca,bucketNews_BC,NewsRelated,news,14674,223099,83335,377,ORGANIC,NON-POLITICAL	NON-POLITICAL	NON-POLITICAL	IRRELEVANT	

20170226221941343abfdc5a7-d70e-4826-82a8-eae00216f63a,bucketNews_BC,NewsRelated,news,14439,212035,81808,356,ORGANIC,NON-POLITICAL	NON-POLITICAL	NON-POLITICAL	IRRELEVANT	

2017022622194638610ab4154-f78c-4f83-8680-97abb506d848,bucketNews_BC,NewsRelated,news,12878,216356,65603,416,ORGANIC,NON-POLITICAL	NON-POLITICAL	NON-POLITICAL	IRRELEVANT	

2017022622200476598127906-630f-4603-8702-70226eb06758,bucketElection,ElectionDay,election,5010,282499,2484,980,ORGANIC,POLITICAL	IRRELEVANT	

20170226222153894f832085f-bcb9-4e3b-993b-517f3c60fdbf,bucketNews_BC,NewsRelated,news,12076,313450,81227,617,ORGANIC,NON-POLITICAL	NON-POLITICAL	NON-POLITICAL	IRRELEVANT	

201702262222009357a878786-7556-480b-af32-bbec0ee60561,bucketNews_BC,NewsRelated,news,11783,300772,75333,586,ORGANIC,NON-POLITICAL	NON-POLITICAL	NON-POLITICAL	IRRELEVANT	

201702262222075839e026e89-1fc5-4101-9838-b2ca0ae8c77e,bucketNews_BC,NewsRelated,news,11343,342025,75078,716,ORGANIC,NON-POLITICAL	NON-POLITICAL	NON-POLITICAL	IRRELEVANT	

20170226222409928fcc27d57-37fd-4840-914f-8282bf2c41bd,bucketElection_BC,ElectionDay,election,8120,266664,1537,901,ORGANIC,POLITICAL	IRRELEVANT	

20170226222743726b09cdafc-f197-458a-b187-78f56a18b774,ThanksGivingBucket,GeneralThanksgiving,thanksgiving,3955,444415,6166,2135,ORGANIC,NON-POLITICAL	NON-POLITICAL	NON-POLITICAL	IRRELEVANT	

20170226223123527019f5ae1-d516-4b4b-ac1a-1c064355f992,ThanksGivingBucket_BC,GeneralThanksgiving,thanksgiving,4322,476306,6004,2199,ORGANIC,NON-POLITICAL	NON-POLITICAL	NON-POLITICAL	IRRELEVANT	

201702262234076377c22d0e1-1f82-4c81-9741-423e7abe6f2f,ThanksGivingBucket_BC,GeneralThanksgiving,thanksgiving,4019,473367,5311,2176,ORGANIC,NON-POLITICAL	NON-POLITICAL	NON-POLITICAL	IRRELEVANT	

2017022622355326401f0851d-3e2a-4bd5-92a9-972975074c52,ThanksGivingBucket_BC,GeneralThanksgiving,thanksgiving,3905,487052,4862,2209,ORGANIC,NON-POLITICAL	NON-POLITICAL	NON-POLITICAL	IRRELEVANT	

2017022622365311351d1f789-700a-40ca-b9f1-ea8757a0ee08,ThanksGivingBucket_BC,GeneralThanksgiving,thanksgiving,4494,500403,5500,2326,ORGANIC,NON-POLITICAL	NON-POLITICAL	NON-POLITICAL	IRRELEVANT	

2017022622380930443e5c2fe-b832-40b9-8492-6d170d60a1db,bucketElection_BC,ElectionDay,election,4831,311270,2176,1068,ORGANIC,POLITICAL	IRRELEVANT	

201702262238187269845a7b6-e776-4b78-b3d1-23b391b51c6a,ThanksGivingBucket_BC,GeneralThanksgiving,thanksgiving,4777,505758,4616,2317,ORGANIC,NON-POLITICAL	NON-POLITICAL	NON-POLITICAL	IRRELEVANT	

2017022622394669200636ab4-6585-4cad-a49f-db7ac502f4bf,bucketElection_BC,ElectionDay,election,6207,349610,2000,1117,ORGANIC,POLITICAL	IRRELEVANT	

2017022622395131874609d81-3844-4deb-835b-243e0253b8ce,bucketElection_BC,ElectionDay,election,7178,304556,1752,990,ORGANIC,POLITICAL	IRRELEVANT	

