hashtag,UserFriendFollowerRatiosMV_friendFollowerRatio_average,UserFriendFollowerRatiosMV_friendFollowerRatio_population_variance,UserFriendFollowerRatiosMV_friendFollowerRatio_population_standard_deviation,UserFriendFollowerRatiosMV_friendFollowerRatio_minValue,UserFriendFollowerRatiosMV_friendFollowerRatio_maxValue
KillTPA,0.6389846085962103,0.021486171504573034,0.1465816206233682,0.5344619105199516,1.0
SDF,0.6320418420361329,0.022612360768614767,0.1503740694688242,0.46068875893437294,0.8682972718720602
SOT,0.4943475871007171,0.015440518589091885,0.12425988326524327,0.03234880450070324,0.9120477928974444
libertarian,0.5005083016950386,0.0040103486855821,0.06332731389836538,0.347242206235012,0.7104421322019059
КрымПутьНаРодину,0.352733441183664,0.02580407804603679,0.16063647794332642,0.11332684824902724,0.9989403973509934
Настроение,0.5485862834161105,0.013430492184684974,0.11589000036536791,0.4639321074964639,0.8763345195729537
России,0.7105739286488418,0.06313847354065368,0.25127370244546815,0.16198501872659177,1.0
Туларулит,0.8112301258743854,0.01630428040940834,0.12768821562465482,0.720115850447604,0.9918060112645413
Франция,0.5293249698830018,0.07920926463158308,0.28144140532548345,0.0,1.0
ЧМ2018,0.582891340346754,0.0656518059236271,0.25622608361294347,0.18604651162790697,0.9983038785434706
оппозиция,0.45341135004887223,0.03750736449964042,0.19366818143319367,0.10795698924731183,0.9784400760938491
спорт,0.4322920422634631,0.041799187278225645,0.20444849541687912,0.0,0.9989403973509934
EgyptAir,0.5778079940396493,0.032036392964573085,0.17898713072333744,0.07731958762886598,0.9796803802297949
GoodNightISIS,0.44840660967255824,0.013730008063788105,0.11717511708459312,0.11640953716690042,0.6924979389942292
Hollywood,0.528493219321923,0.023889335311438647,0.15456175242096165,0.10321969696969698,0.9120477928974444
ItsOK2BeGay,0.4366830893363269,0.01603126989134105,0.12661465117173862,0.041666666666666664,0.6392386530014641
JayZ,0.549303814258624,0.0035918635531741925,0.059932157921888586,0.46068875893437294,0.7042125636185516
KerryDoSmth,0.5084732496217073,0.00648174145067461,0.08050926313583183,0.3235955056179775,0.6392386530014641
MAGA,0.4487099492804468,0.0373564525800857,0.1932781740913487,0.0,0.9989403973509934
MakeSexAwkwardIn5Words,0.5718792163482727,0.007180168313635206,0.08473587382941894,0.46068875893437294,0.9120477928974444
